Temp1,Temp2
喜树,C0476
喜树,C1180
喜树,C0114
喜树,C0090
喜树,C1247
喜树,C0102
喜树,C0064
喜树,C1242
喜树,C0219
喜树,C0333
喜树,C0291
喜树,C0383
喜树,C0478
喜树,C1258
喜树,C1203
喜树,C1231
喜树,C0352
喜树,C0914
喜树,C0354
喜树,C0156
喜树,C0377
喜树,C0164
喜树,C0133
喜树,C0039
喜树,C0935
喜树,C0449
喜树,C0510
喜树,C0619
喜树,C0638
喜树,C1241
喜树,C0853
雷公藤,C1222
雷公藤,C1178
雷公藤,C1238
雷公藤,C0243
雷公藤,C0792
补骨脂,C0890
补骨脂,C0335
补骨脂,C1136
补骨脂,C0906
补骨脂,C0130
补骨脂,C0416
补骨脂,C0214
补骨脂,C0524
补骨脂,C0509
补骨脂,C0749
补骨脂,C0593
补骨脂,C0757
补骨脂,C0332
滇杠柳,C0156
滇杠柳,C0333
滇杠柳,C0199
滇杠柳,C0133
滇杠柳,C1203
滇杠柳,C0374
滇杠柳,C1258
滇杠柳,C0369
滇杠柳,C0476
滇杠柳,C0207
滇杠柳,C0427
滇杠柳,C1178
滇杠柳,C0073
滇杠柳,C1231
滇杠柳,C0352
滇杠柳,C0455
滇杠柳,C0377
滇杠柳,C0935
滇杠柳,C0448
滇杠柳,C0153
滇杠柳,C0262
海胆,C0372
千金子,C0054
千金子,C0179
千金子,C1284
千金子,C1178
千金子,C0053
千金子,C1259
三白草,C0008
三白草,C0354
三白草,C0352
三白草,C0156
三白草,C0377
三白草,C0858
三白草,C0824
三白草,C0184
马鞭草,C0063
马鞭草,C0476
马鞭草,C1030
马鞭草,C1209
马鞭草,C0252
马鞭草,C0914
马鞭草,C0199
马鞭草,C0164
马鞭草,C0157
马鞭草,C0771
马鞭草,C0262
马鞭草,C0853
长春花,C0315
长春花,C0316
长春花,C0400
长春花,C0399
长春花,C0510
长春花,C0581
光慈姑,C0485
芦荟根,C0055
芦荟根,C1220
芦荟根,C0333
芦荟根,C0291
芦荟根,C0090
芦荟根,C0114
芦荟根,C1178
芦荟根,C0243
芦荟根,C1203
芦荟根,C1221
芦荟根,C0749
芦荟根,C1241
益母草,C1217
益母草,C1162
益母草,C0839
益母草,C0709
盒子草,C0064
盒子草,C0063
盒子草,C0219
盒子草,C0381
盒子草,C0905
巴豆,C0305
巴豆,C0416
巴豆,C0285
巴豆,C0190
巴豆,C1231
巴豆,C0263
巴豆,C0189
巴豆,C0524
巴豆,C0612
巴豆,C0685
巴豆,C0651
巴豆,C0701
海芋,C0072
海芋,C0312
海芋,C1216
海芋,C1220
海芋,C1178
海芋,C0242
海芋,C1226
海芋,C0377
海芋,C1237
海芋,C0089
海芋,C1162
海芋,C0305
海芋,C0239
海芋,C0519
海芋,C0523
海芋,C0717
海芋,C1241
海芋,C0548
海芋,C0808
番泻叶,C0164
番泻叶,C0306
番泻叶,C0881
番泻叶,C0618
杜仲,C0352
杜仲,C0377
杜仲,C0164
杜仲,C0349
杜仲,C0314
杜仲,C1203
杜仲,C1231
杜仲,C1175
杜仲,C1030
杜仲,C1220
杜仲,C1258
杜仲,C0333
杜仲,C0258
杜仲,C0285
杜仲,C0416
杜仲,C0476
杜仲,C1180
杜仲,C0114
杜仲,C1179
杜仲,C1219
杜仲,C1178
杜仲,C0072
杜仲,C0073
杜仲,C0189
杜仲,C0156
杜仲,C0190
杜仲,C0053
杜仲,C1114
杜仲,C0485
杜仲,C0935
杜仲,C0423
杜仲,C0267
杜仲,C0215
杜仲,C0539
杜仲,C0527
杜仲,C0513
杜仲,C0594
杜仲,C0642
杜仲,C1241
杜仲,C0548
杜仲,C0528
地椒,C0294
地椒,C1178
地椒,C1234
地椒,C0113
地椒,C0144
地椒,C0471
蒺藜,C0115
蒺藜,C0073
斑蝥,C0305
斑蝥,C0416
斑蝥,C0285
斑蝥,C0190
斑蝥,C1231
斑蝥,C0263
斑蝥,C0189
斑蝥,C0524
斑蝥,C0612
斑蝥,C0651
斑蝥,C0701
北豆根,C0621
北豆根,C0720
北豆根,C0778
露蜂房,C0337
披麻草根,C0046
披麻草根,C0114
披麻草根,C0420
披麻草根,C1231
披麻草根,C0133
披麻草根,C0291
披麻草根,C0039
披麻草根,C0502
披麻草根,C0526
披麻草根,C1241
披麻草根,C0752
朱砂莲,C0291
榼藤,C0245
榼藤,C0863
榼藤,C0390
榼藤,C0104
榼藤,C0412
榼藤,C0363
榼藤,C0308
榼藤,C1176
榼藤,C0285
榼藤,C0457
榼藤,C0420
榼藤,C0164
榼藤,C1246
榼藤,C0352
榼藤,C0340
榼藤,C0483
榼藤,C0159
榼藤,C0240
榼藤,C0333
榼藤,C0291
榼藤,C0455
榼藤,C1203
榼藤,C0277
榼藤,C0228
榼藤,C1201
榼藤,C0065
榼藤,C0014
榼藤,C0283
榼藤,C1178
榼藤,C0204
榼藤,C0189
榼藤,C0371
榼藤,C0383
榼藤,C1162
榼藤,C0258
榼藤,C0867
榼藤,C0259
榼藤,C0344
榼藤,C0450
榼藤,C0479
榼藤,C0064
榼藤,C0416
榼藤,C1193
榼藤,C0231
榼藤,C0072
榼藤,C0287
榼藤,C0263
榼藤,C0365
榼藤,C0190
榼藤,C0423
榼藤,C0522
榼藤,C0504
榼藤,C0513
榼藤,C0547
榼藤,C0839
榼藤,C0548
榼藤,C0813
榼藤,C0262
榼藤,C0709
露蕊乌头,C0479
露蕊乌头,C0285
