Temp1,Temp2
C0001,T79WXA
C0004,T38AWT
C0004,T85AXP
C0004,T88TDZ
C0004,T80GUN
C0004,T81I4T
C0004,T85U8U
C0004,T80PUR
C0004,T38T1U
C0004,T43N2D
C0004,T63BQU
C0004,T85JI5
C0004,T54OSZ
C0004,T63FNY
C0004,T74QXI
C0004,T42EAZ
C0004,T66CDR
C0004,T44CO6
C0004,T29MD1
C0004,T71UHA
C0004,T80OJF
C0004,T92BZ2
C0004,T15JRW
C0004,T88AJI
C0004,T77A47
C0004,T40NB1
C0004,T06RMZ
C0004,T97KFC
C0004,T84E1O
C0004,T04W1F
C0004,T56D7K
C0004,T54N7G
C0004,T87WH7
C0004,T78IOY
C0004,T93WZG
C0004,T36I66
C0004,T90Z3N
C0004,T49TDM
C0008,T29MD1
C0009,T71BDH
C0011,T70HTD
C0011,T79WXA
C0011,T25NSJ
C0013,T22OPB
C0013,T71BDH
C0013,T86ROZ
C0013,T81I4T
C0013,T68SE0
C0013,T20E5P
C0013,T80OPZ
C0014,T26EZU
C0014,T85U8U
C0014,T25NSJ
C0014,T79WXA
C0014,T05PKX
C0014,T85S9Z
C0014,T41INV
C0014,T67KTV
C0014,T88TDZ
C0014,T01QLH
C0014,T89L4V
C0014,T88AJI
C0014,T42HHN
C0014,T43NBB
C0014,T90ADC
C0014,T71K92
C0014,T05O6O
C0014,T09KPZ
C0014,T84W8G
C0015,T83YZD
C0015,T37K4S
C0017,T38EQ6
C0017,T29MD1
C0017,T06RMZ
C0017,T41Z8G
C0017,T30ZE6
C0019,T96JGO
C0020,T88AJI
C0020,T99V1T
C0020,T79WXA
C0020,T45G32
C0020,T85NRC
C0020,T50WOV
C0025,T24C0P
C0025,T16MRU
C0025,T13HKH
C0025,T84W8G
C0025,T88TDZ
C0025,T36YWU
C0025,T76B0A
C0025,T93YV8
C0025,T34X07
C0025,T08KXM
C0025,T05AAL
C0025,T72KIO
C0025,T96OOK
C0025,T92BZ2
C0025,T05O6O
C0026,T43GWF
C0026,T01QLH
C0026,T26EZU
C0026,T02IOG
C0026,T84FSA
C0026,T93WZG
C0026,T75H3W
C0026,T10S5F
C0027,T50WOV
C0027,T82JWE
C0029,T58XLK
C0029,T96PBE
C0030,T99V1T
C0031,T74JJN
C0031,T16A2X
C0031,T71B0A
C0031,T30D9G
C0031,T88TDZ
C0031,T74QXI
C0031,T42EAZ
C0039,T95Y0K
C0039,T20JZ2
C0039,T06Q1R
C0039,T21K0F
C0039,T92X7D
C0039,T14AON
C0039,T13KGH
C0039,T01QLH
C0039,T76EHP
C0039,T48XM4
C0039,T25H22
C0039,T87WYU
C0039,T24CYX
C0039,T46AQJ
C0039,T62F1Y
C0039,T79KQO
C0039,T10KMJ
C0039,T54CIF
C0039,T50WOV
C0039,T29MD1
C0039,T42FMQ
C0039,T12T4H
C0040,T14LSK
C0040,T56TXY
C0040,T47HTN
C0040,T91MWA
C0040,T88TDZ
C0040,T95K8Q
C0040,T31M1Q
C0040,T58J2Y
C0040,T08Q7W
C0040,T06RMZ
C0040,T96OOK
C0040,T74QXI
C0040,T08OEP
C0040,T92BZ2
C0040,T32IXS
C0041,T76PKX
C0041,T40DIM
C0041,T54VET
C0041,T06RMZ
C0041,T50WOV
C0041,T37ADS
C0041,T96OOK
C0041,T20JZ2
C0041,T12RJE
C0041,T47C6A
C0041,T88TDZ
C0041,T58FWN
C0041,T06Q1R
C0041,T71K92
C0041,T01QLH
C0041,T80OJF
C0041,T85U8U
C0041,T27U96
C0041,T49TDM
C0041,T58J2Y
C0041,T84WE9
C0041,T04MBA
C0041,T29JZ3
C0041,T09H2Z
C0041,T64BTV
C0041,T23VMI
C0041,T26EZU
C0041,T82JWE
C0041,T47H3O
C0041,T92BZ2
C0041,T52CKD
C0041,T42PUG
C0041,T68SE0
C0041,T63BQU
C0041,T53AOE
C0041,T95K0K
C0041,T64LKA
C0041,T93SFQ
C0041,T78O6C
C0041,T84CEG
C0041,T30AEN
C0041,T02GD4
C0041,T11BI7
C0041,T79WXA
C0041,T25NSJ
C0041,T81I4T
C0041,T75NEV
C0041,T54SZZ
C0041,T37SV3
C0041,T88AJI
C0041,T69F5W
C0041,T13I7C
C0041,T80TUC
