草药名称,成分集合,靶点集合,特征集合,毒性标签
喜树,C0039;C0064;C0090;C0102;C0114;C0133;C0156;C0164;C0219;C0291;C0333;C0352;C0354;C0377;C0383;C0449;C0476;C0478;C0510;C0619;C0638;C0853;C0914;C0935;C1180;C1203;C1231;C1241;C1242;C1247;C1258,T00CXT;T00EP2;T00H7Q;T00KKS;T00T9M;T01CL0;T01E7W;T01FVG;T01IGB;T01QLH;T02FO3;T02GD4;T02M5I;T02O3F;T02P7Q;T02QBS;T02WMA;T03CZ8;T03TJ0;T03VS9;T03YAI;T04A6O;T04H8Y;T04HXV;T04TWI;T04UTZ;T04WT7;T05PKX;T05RAA;T05TS9;T05WWN;T06ADX;T06IYF;T06MQM;T06PVX;T06Q1R;T06RMZ;T06VX0;T07NML;T07TMB;T07VO1;T08B2M;T08DOL;T08Q7W;T09AAD;T09DI4;T09GFP;T09H2Z;T09INZ;T09KPZ;T10HL8;T10I26;T10ICM;T10IWJ;T10KMJ;T10S5F;T11BI7;T11ZYR;T12PIB;T12T4H;T13KGH;T14AON;T14DX3;T14JSQ;T14JSX;T14JZK;T14LSK;T16A2X;T16DCZ;T16MRU;T16OQ5;T16Q09;T16UZ4;T17CNB;T17CZC;T17UP9;T18DUA;T19CUN;T20H9F;T20IHC;T20JZ2;T20PAH;T20RA0;T20TPU;T21DZX;T21K0F;T21Q0D;T21S10;T22H8P;T22I6G;T22IMH;T22NX4;T22OPB;T23EWB;T23KDW;T23LHE;T23P74;T23VMI;T23WMS;T23Z2G;T24C0P;T24CYX;T24F1A;T24LXT;T24U57;T25H22;T25M2J;T25NSJ;T25S1M;T25Y64;T26EZU;T26KIE;T27LTU;T27U96;T28EY5;T28PHS;T29B10;T29JA7;T29MD1;T30D9G;T30L86;T30VNV;T31G6V;T31JWV;T31MUM;T31RKU;T31SX8;T31U13;T31VDH;T32JN2;T32KN9;T32PI2;T32R5L;T32SPJ;T32UNL;T33OPP;T33UEM;T34DZ7;T34FQX;T34HYH;T34Y7V;T35QZO;T36SOV;T37ADS;T37VLU;T37WQE;T38BR0;T38EQ6;T38K2W;T38OH4;T38T1U;T38WWN;T39FBA;T39M6J;T39YUJ;T40B7E;T40DIM;T40EUL;T40G6B;T40JZG;T40XWM;T41A4Y;T41INV;T41S16;T41TXS;T42D4V;T42EAZ;T42FMQ;T42PUG;T42XY2;T43G0N;T43LYL;T43N2D;T43NBB;T44KU9;T44LWL;T44S1A;T45G32;T46AQJ;T46K2X;T46YMA;T47DIY;T47H3O;T47WT6;T48DAP;T48J1U;T48XM4;T49ORJ;T49PL1;T49TDM;T49XOZ;T50GQE;T50SJ8;T50SX0;T50V79;T50VJF;T50WOV;T51IKV;T51K6D;T52CKD;T52RGZ;T52T5O;T53AOE;T53ES3;T54CIF;T54G8J;T54N7G;T54OSZ;T54RF5;T54SZZ;T54VQA;T54X6V;T55EFK;T55IBP;T56TXY;T57GP2;T57HGP;T57L0X;T58J2Y;T58XLK;T59IKQ;T60KJ1;T60XS5;T61DYZ;T61OY3;T61QXV;T62ERY;T62F1Y;T62QDU;T62USB;T63BQU;T63DP6;T63FF5;T63FNY;T63GUB;T63YAO;T64BPL;T64BTV;T64UH1;T64W2K;T64X48;T65JYL;T65S3S;T66BXF;T66WWM;T67HAF;T67JME;T67JR8;T67KTV;T67MQU;T67X1L;T67ZT3;T68BGR;T68HNO;T68OIU;T68SE0;T68XXK;T69NG6;T69RXK;T69XVX;T70HTD;T70LAB;T70OGQ;T70YKV;T71BDH;T71GRQ;T71K92;T72BXP;T73EVE;T73LPO;T74D4Y;T74ETU;T74I49;T74JJN;T74LFK;T74P7I;T74QOR;T74QXI;T75B9S;T75H3W;T75HMM;T76AZQ;T76CGR;T76EHP;T77FOL;T77TY2;T77UWH;T77W6N;T78EXU;T78ILO;T78VUO;T78ZF2;T79KQO;T79UQC;T79WXA;T80GUN;T80OJF;T80OPZ;T80TUC;T80U0C;T81BH5;T81I4T;T81MSV;T82ALJ;T82I7J;T82JWE;T82S6C;T83DDX;T83QHM;T83SXS;T83YZD;T84CEG;T84P70;T84TJB;T84VZG;T84W8G;T85AXP;T85JI5;T85U8U;T86MX7;T86O9J;T86ROZ;T86UXL;T87AXU;T87DEX;T87QUW;T87WMV;T87WYU;T88AJI;T88B8X;T88BCB;T88LSZ;T88QQE;T88TDZ;T89L4V;T89YVM;T90ORW;T90QV5;T90XYZ;T90ZKN;T91EAB;T91KTQ;T91MKC;T91OUC;T91T8I;T92BZ2;T92HNO;T92Q77;T92UBJ;T92X7D;T93NTV;T93R42;T93SFQ;T93VFT;T93WZG;T94H37;T94S85;T94VM4;T94YOD;T95H9O;T95IYZ;T95K8Q;T95Y0K;T96G89;T96OOK;T97ESI;T97F4Y;T97FEF;T97KL5;T98FWP;T99ARN;T99XQ3,15;16;21;35;286,"1.0,1.0,1.0,1.0,0.0"
雷公藤,C0243;C0792;C1178;C1222;C1238,T00OVG;T01QLH;T01S8U;T02QBS;T04H8Y;T04MBA;T04WT7;T06ADX;T06DT5;T06RMZ;T08Q7W;T11BI7;T14ENF;T14JSQ;T15JRW;T15TWZ;T16UHV;T18CWB;T20JZ2;T23P74;T25C2G;T25Y64;T26EZU;T27IAF;T28I32;T28RI5;T30AEN;T31P1D;T31SX8;T31YO2;T33OSQ;T36B1Q;T36Y8O;T38T1U;T42EAZ;T43N2D;T43ZNV;T45G32;T47H3O;T49TDM;T50SJ8;T50WOV;T53AOE;T53KY7;T54OSZ;T57L0X;T63FNY;T63GUB;T67HXL;T67JR8;T71BDH;T71K92;T74D4Y;T74I49;T75NEV;T77UWH;T78ZF2;T79WXA;T80GUN;T80OJF;T80TUC;T84WE9;T85U8U;T88AJI;T88TDZ;T92UWJ;T93VFT;T93WZG;T94DIJ;T95A04;T96OOK;T97FEF;T98RXH,0;8;16;22;160;256;257;289,"0.0,1.0,1.0,0.0,1.0"
补骨脂,C0130;C0214;C0332;C0335;C0416;C0509;C0524;C0593;C0749;C0757;C0890;C0906;C1136,T00H7Q;T01QLH;T02U6A;T02WMA;T04V7K;T05O6O;T05WWN;T06RMZ;T07TMB;T08U92;T09H2Z;T12BGL;T13KGH;T23VMI;T31JL4;T34Y8V;T40JZG;T44LWL;T46K2X;T47H3O;T50WOV;T51U9M;T53GHU;T58XLK;T61LV9;T63BQU;T68HNO;T70HTD;T71K92;T75RAR;T76MVQ;T77PFO;T79WXA;T80TUC;T83P5X;T83YZD;T85U8U,1;8;11;15;16;99;218;219,"1.0,1.0,1.0,1.0,1.0"
滇杠柳,C0073;C0133;C0153;C0156;C0199;C0207;C0262;C0333;C0352;C0369;C0374;C0377;C0427;C0448;C0455;C0476;C0935;C1178;C1203;C1231;C1258,T00CXT;T00EP2;T00H7Q;T00T9M;T01CL0;T01E7W;T01FVG;T01IGB;T01QLH;T02GD4;T02M5I;T02QBS;T02WMA;T03CZ8;T03VS9;T03YAI;T04A6O;T04H8Y;T04HXV;T04TWI;T04UTZ;T04WT7;T05RAA;T05WWN;T06MQM;T06PVX;T06RMZ;T06VX0;T07NML;T07TMB;T08DOL;T08Q7W;T08SJX;T08U92;T09AAD;T09DI4;T09GFP;T09H2Z;T09KPZ;T10HL8;T10S5F;T11BI7;T11ZYR;T12PIB;T12T4H;T12WTT;T13HYI;T13KGH;T14ENF;T14JZK;T14LSK;T16A2X;T16DCZ;T16FZA;T16MRU;T16OQ5;T17CNB;T17CZC;T17UP9;T18CUI;T18DUA;T19CUN;T19YQS;T20H9F;T20JZ2;T20RA0;T21DZX;T21Q0D;T22IMH;T22NX4;T22OPB;T23KDW;T23LHE;T23OTN;T23P74;T23VMI;T23WMS;T24C0P;T24LXT;T24U57;T25H22;T25M2J;T25NSJ;T25Y64;T26EZU;T26KIE;T27U96;T28EY5;T29B10;T29JA7;T29MD1;T30L86;T30VNV;T31G6V;T31JWV;T31RKU;T31SX8;T31U13;T32KN9;T32R5L;T33OPP;T34DZ7;T34FQX;T34HYH;T34Y7V;T35KD8;T35LKG;T36SOV;T37ADS;T37VLU;T37WQE;T38BR0;T38EQ6;T38J3Y;T38K2W;T38O11;T38OH4;T38OQ4;T38T1U;T38WWN;T39FBA;T39M6J;T39RV3;T39YUJ;T40LTN;T40NB1;T41BXR;T41DXP;T41INV;T41TXS;T42EAZ;T42PUG;T43G0N;T43LYL;T43N2D;T44LWL;T45G32;T46AQJ;T46K2X;T46YMA;T47H3O;T47HTN;T47MPW;T47WT6;T48XM4;T49ORJ;T49PL1;T49TDM;T50SJ8;T50SX0;T50V79;T50VJF;T50WOV;T51IKV;T51K6D;T52CKD;T52T5O;T53AOE;T53ES3;T54CIF;T54G8J;T54N7G;T54RF5;T54SZZ;T54VQA;T54X6V;T55EFK;T55L5P;T56TXY;T57GP2;T57HGP;T57L0X;T58J2Y;T58XLK;T59IKQ;T60B3R;T60GGR;T60KJ1;T60UPF;T60XS5;T61DYZ;T61OY3;T61QXV;T62ERY;T62UOD;T62Y4H;T63BQU;T63DP6;T63GUB;T63YAO;T64BPL;T64BTV;T64UH1;T64W2K;T64X48;T65JYL;T65S3S;T66BXF;T66S13;T66WWM;T67CB6;T67HAF;T67JME;T67JR8;T67MQU;T67X1L;T67ZT3;T68AKE;T68BGR;T68DAN;T68OIU;T68SE0;T68XO1;T68XXK;T69NG6;T69RXK;T69XEM;T69XVX;T70EJM;T70HTD;T70LAB;T70OGQ;T71BDH;T71GRQ;T71K92;T72BXP;T73EVE;T73LPO;T74I49;T74JJN;T74LFK;T74QOR;T74QXI;T75B9S;T75EH8;T75H3W;T75HMM;T76AZQ;T76CGR;T77FOL;T77M4W;T77TY2;T77UWH;T78EXU;T78ILO;T78IOY;T78O6C;T78VUO;T78ZF2;T79KQO;T79UQC;T79WXA;T80DCQ;T80GUN;T80L9F;T80OJF;T80OPZ;T80TUC;T81I4T;T81MSV;T82ALJ;T82I7J;T82JWE;T82S6C;T83DDX;T83P5X;T83PO9;T83QHM;T83YZD;T84CEG;T84P70;T84TJB;T84W8G;T85AXP;T85JI5;T85U8U;T86O9J;T86ROZ;T87DEX;T87QUW;T87WYU;T88AJI;T88B8X;T88BCB;T88QQE;T88TDZ;T89L4V;T90QV5;T90XYZ;T90ZKN;T91AIW;T91EAB;T91KTQ;T91MKC;T91OUC;T91T8I;T91UNL;T92AMR;T92BZ2;T92HNO;T92WFW;T93NTV;T93R42;T93SFQ;T93VFT;T93WZG;T94H37;T94S85;T94YOD;T95H9O;T95IYZ;T96DNP;T96OOK;T97ESI;T97FEF;T99XQ3,0;3;15;16;61;124,"0.0,0.0,0.0,1.0,1.0"
海胆,C0372,T95CFP,4;5;6;11;15;32;89;115;185,"1.0,0.0,1.0,1.0,1.0"
千金子,C0053;C0054;C0179;C1178;C1259;C1284,T08Q7W;T10S5F;T12BGL;T14ENF;T20H9F;T22OPB;T23P74;T25NSJ;T33OPP;T36RGT;T36YWU;T38T1U;T40TBX;T41TXS;T42EAZ;T43Y5O;T45G32;T46AQJ;T48J1U;T48ZIG;T49ORJ;T50SJ8;T51K6D;T53AOE;T53QS9;T56MD7;T56RMM;T62F1Y;T64W2K;T68OIU;T70B7U;T71K92;T75H3W;T78ZF2;T79WXA;T80OJF;T80TUC;T85AXP;T85U8U;T87DEX;T93VFT,5;20;22;68;115;136,"0.0,1.0,0.0,1.0,1.0"
三白草,C0008;C0156;C0184;C0352;C0354;C0377;C0824;C0858,T00CXT;T00EP2;T00H7Q;T00T9M;T01CL0;T01E7W;T01FVG;T01IGB;T02M5I;T02QBS;T02WMA;T03CZ8;T03VS9;T03YAI;T04H8Y;T04HXV;T04TWI;T04WT7;T05RAA;T05WWN;T06MQM;T06RMZ;T06VX0;T07TMB;T08DOL;T08Q7W;T09AAD;T09DI4;T09H2Z;T09KPZ;T10HL8;T12PIB;T12T4H;T13KGH;T14DX3;T14JZK;T16A2X;T16MRU;T16OQ5;T17CNB;T17CZC;T17UP9;T18DUA;T19CUN;T20JZ2;T20RA0;T21DZX;T21Q0D;T22OPB;T23KDW;T23LHE;T23P74;T23VMI;T23WMS;T24C0P;T24LXT;T24U57;T25H22;T25NSJ;T26EZU;T26KIE;T28EY5;T29B10;T29JA7;T29MD1;T30L86;T30VNV;T31G6V;T31JWV;T31RKU;T31SX8;T31U13;T33OPP;T34DZ7;T34HYH;T34Y7V;T36SOV;T37ADS;T37VLU;T38EQ6;T38K2W;T38T1U;T38WWN;T39FBA;T41INV;T41TXS;T42EAZ;T42PUG;T43G0N;T43LYL;T43N2D;T44LWL;T46AQJ;T46K2X;T47H3O;T47WT6;T48XM4;T49ORJ;T49PL1;T49TDM;T50SJ8;T50SX0;T50VJF;T51IKV;T51K6D;T52CKD;T52T5O;T53AOE;T54CIF;T54G8J;T54N7G;T54RF5;T54SZZ;T54VQA;T55EFK;T57GP2;T57HGP;T57L0X;T58J2Y;T59IKQ;T60KJ1;T60XS5;T61DYZ;T61QXV;T63BQU;T63DP6;T63GUB;T63YAO;T64BPL;T64BTV;T64UH1;T64W2K;T65JYL;T65S3S;T66BXF;T67HAF;T67JME;T67JR8;T67MQU;T67X1L;T67ZT3;T68OIU;T68SE0;T69NG6;T69XVX;T70HTD;T70LAB;T71BDH;T71GRQ;T71K92;T73LPO;T74I49;T74JJN;T74QXI;T75B9S;T75HMM;T76CGR;T77TY2;T77UWH;T78EXU;T78ILO;T78VUO;T78ZF2;T79KQO;T79UQC;T79WXA;T80GUN;T80OJF;T80TUC;T81I4T;T81MSV;T82ALJ;T82JWE;T82S6C;T83DDX;T83QHM;T83YZD;T84CEG;T84P70;T84TJB;T84W8G;T85AXP;T85JI5;T85U8U;T86O9J;T86ROZ;T87DEX;T87QUW;T87WYU;T88AJI;T88B8X;T88BCB;T88TDZ;T89L4V;T90QV5;T90XYZ;T91EAB;T91KTQ;T91MKC;T91OUC;T92BZ2;T93NTV;T93SFQ;T93WZG;T94H37;T94S85;T94YOD;T95IYZ;T96OOK;T97ESI;T97FEF;T99XQ3,2;4;9;15;201;202,"0.0,0.0,1.0,0.0,1.0"
马鞭草,C0063;C0157;C0164;C0199;C0252;C0262;C0476;C0771;C0853;C0914;C1030;C1209,T00CXT;T00H7Q;T00KKS;T01E7W;T01QLH;T02GD4;T02QBS;T02WMA;T04A6O;T04H8Y;T04TWI;T04UTZ;T05PKX;T05RAA;T06ADX;T06IYF;T06PVX;T06RMZ;T07TMB;T07VJT;T07VO1;T08Q7W;T09H2Z;T09INZ;T10HL8;T10ICM;T10IWJ;T10S5F;T11BI7;T12PIB;T12WTT;T13KGH;T14DX3;T14JSQ;T14LSK;T16DCZ;T16UZ4;T18DUA;T20H9F;T20JZ2;T20TPU;T21DZX;T21S10;T22I6G;T22IMH;T22OPB;T23P74;T23VMI;T24LXT;T24U57;T25M2J;T25NSJ;T25S1M;T26EZU;T26KIE;T27LTU;T27U96;T29B10;T29MD1;T30L86;T30VNV;T32KN9;T32PI2;T32R5L;T33OPP;T34FQX;T35LKG;T35QZO;T36SOV;T37VLU;T37WQE;T38BR0;T38EQ6;T38K2W;T38O11;T38OH4;T38T1U;T39M6J;T39RV3;T39YUJ;T40B7E;T40DIM;T40JZG;T40XWM;T41BXR;T41DXP;T41INV;T41TXS;T42D4V;T42EAZ;T42PUG;T42XY2;T43N2D;T44LWL;T45G32;T46K2X;T47H3O;T47HTN;T48DAP;T48XM4;T49ORJ;T49TDM;T50GQE;T50SJ8;T50SX0;T50V79;T50WOV;T51IKV;T52RGZ;T53ES3;T54CIF;T54OSZ;T54VQA;T55IBP;T57HGP;T57L0X;T58J2Y;T58XLK;T59IKQ;T60B3R;T60GGR;T60XJI;T61OY3;T62QDU;T62UOD;T62USB;T62Y4H;T63BQU;T63FNY;T63GUB;T64BTV;T64UH1;T64W2K;T64X48;T65S3S;T66WWM;T67CB6;T67HAF;T67KTV;T68AKE;T68DAN;T68HNO;T68SE0;T68XXK;T69NG6;T69XVX;T70KPE;T70OGQ;T70YKV;T71BDH;T71K92;T72BXP;T73EVE;T73LPO;T74D4Y;T74ETU;T74I49;T74JJN;T74QOR;T74QXI;T74V1Z;T75B9S;T75H3W;T75HMM;T77FOL;T77M4W;T78ILO;T78IOY;T78O6C;T79KQO;T79WXA;T80GUN;T80OJF;T80OPZ;T80TUC;T81I4T;T82ALJ;T82JWE;T83SXS;T83YZD;T84P70;T84W8G;T85U8U;T86MX7;T86ROZ;T86UXL;T87AXU;T87DEX;T87WMV;T87WYU;T88AJI;T88B8X;T88LSZ;T88QQE;T88TDZ;T89L4V;T90ORW;T90ZKN;T91AIW;T91OUC;T91T8I;T92AMR;T92BZ2;T92HNO;T92Q77;T92UBJ;T93WZG;T94VM4;T95H9O;T95K8Q;T96G89;T96OOK;T97FEF;T98FWP;T99ARN;T99XQ3,0;4;5;11;22;41;79;80,"0.0,0.0,1.0,1.0,1.0"
长春花,C0315;C0316;C0399;C0400;C0510;C0581,T00EP2;T03G09;T06PVX;T06Q1R;T08UWG;T09H2Z;T10HL8;T11GYO;T14W2H;T16A2X;T16MRJ;T18YXD;T20HY9;T20TB8;T21DZX;T22OPB;T23VMI;T33OPP;T33OSQ;T36B1Q;T42Q3K;T43FA8;T44KU9;T47H3O;T49ORJ;T50SX0;T50WOV;T54KVP;T60LKM;T61OY3;T63GUB;T64BTV;T64UH1;T67KTV;T68NCI;T69DAO;T69NG6;T71K92;T73EVE;T74JJN;T75B9S;T77W6N;T80TUC;T84G6T;T84P70;T85U8U;T86ROZ;T87DEX;T87UKX;T90ZS8;T92UBJ;T93WZG;T93YV8;T95RKQ;T96OOK,1;2;3;4;19;48;142;149,"1.0,0.0,0.0,0.0,0.0"
光慈姑,C0485,T00CXT;T02IOG;T02QBS;T04MBA;T04WT7;T06RMZ;T08Q7W;T09H2Z;T10S5F;T17CZC;T17UP9;T23VMI;T26KIE;T31U13;T32R5L;T33OPP;T38G9K;T42EAZ;T43N2D;T44LWL;T49TDM;T50VJF;T53KRS;T54CIF;T54G8J;T62P0D;T64W2K;T67LQK;T67UWO;T71K92;T73HMK;T74D4Y;T75HMM;T79WXA;T80OJF;T80TUC;T82ALJ;T82JWE;T85U8U;T88AJI;T88TDZ;T91OUC;T92BZ2;T93PLN;T93WZG,0;1;2;3;12;16;19;34,"1.0,0.0,0.0,1.0,1.0"
