smiles,carcino,dili,genotox
CCC(=O)OCCCCCC(C)C,0.0,,
CC(=O)C=O,0.0,,
c1ccc2c(c1)ccc1nc3ccc4ccccc4c3cc12,1.0,,
C=CN(C)N=O,1.0,,
Nc1cc2c3c(ccc2c2ccccc12)C(O)C(O)C=C3,1.0,,
O=Nc1cc2c3ccccc3ccc2c2ccccc12,1.0,,
CNC(=O)N(C)N=O,1.0,,
O=C(CO)C(O)C(O)C(O)CO,0.0,,
O=[N+]([O-])c1ccc2ccc3ccc([N+](=O)[O-])c4ccc1c2c34,1.0,,
O=[N+]([O-])c1cc(O)c2ccc3cccc4ccc1c2c34,0.0,,
COC(=O)N=NC=C1C=[N+]([O-])c2ccccc2N1O,1.0,,
N#[N+]c1ccc(CO)cc1,1.0,,
c1ccc2c(c1)ccc1cc3ccc4ccccc4c3nc12,1.0,,
OC1c2ccc3cc4ccc5ccccc5c4nc3c2C2OC2C1O,0.0,,
C1=Cc2cc3cccc4ccc5ccc1c2c5c43,1.0,,
O=C(O)C1(C(=O)O)CCC1,,1.0,
CCCCCCCCN(C)N=O,1.0,,
OC1c2cc3ccc4cccc5c6ccccc6c(c2C2OC2C1O)c3c45,1.0,,
Cc1cc(-c2ccccc2C)ccc1N=O,1.0,,
O=[N+]([O-])c1ccc2ccc3c4ccccc4cc4ccc1c2c43,0.0,,
CN(C)c1ccc(O)c2c1CC1CC3C(N(C)C)C(=O)C(=C(N)O)C(=O)C3(O)C(=O)C1=C2O,,1.0,
CC(=O)Nc1ccc(-c2ccc(NC(C)=O)cc2)cc1,1.0,,
Cn1c(NO)nc2ncc(-c3ccccc3)cc21,0.0,,
CCNC(=O)N(CC)N=O,1.0,,
CN(C)N=Nc1c(Br)cc(Br)cc1Br,0.0,,
CC(C)(N)Cc1ccccc1,,0.0,
CN(C)C1C(=O)C(C(N)=O)=C(O)C2(O)C(=O)C3=C(O)c4c(O)ccc(Cl)c4C(C)(O)C3CC12,,1.0,
Cc1c2ccccc2cc2c1ccc1ccccc12,1.0,,
CNc1ccc(N=Nc2ccccc2)cc1,1.0,,
CC1CC2(C)C(O)CCC2C2CCc3cc(O)ccc3C12,0.0,,
C=Cc1cccnc1,0.0,,
OC1c2cc3ccc4cccc5ccc(c2C2OC2C1O)c3c45,1.0,,
O=C1OC2(c3ccccc31)c1ccc(O)c(I)c1Oc1c2ccc(O)c1I,0.0,,
NC(=O)N(CCc1ccccc1)N=O,1.0,,
OC1C=Cc2c(ccc3cc4ccccc4nc23)C1O,1.0,,
CC(C)([N+](=O)[O-])C(C)(C)[N+](=O)[O-],0.0,,
COC1C(OC(N)=O)C(O)C(Oc2ccc3c(=O)c(NC(=O)c4ccc(O)c(CC=C(C)C)c4)c(O)oc3c2C)OC1(C)C,,1.0,
c1ccc2nc3ccccc3cc2c1,0.0,,
O=[N+]([O-])c1ccc2ccc3c4ccccc4ccc3c2c1,0.0,,
COc1cc(C(=O)NCc2ccc(OCCN(C)C)cc2)cc(OC)c1OC,,1.0,
COC(=O)c1ccc(C)cc1C1=NC(C)(C(C)C)C(=O)N1,0.0,,
O=[N+]([O-])c1ccc2c(c1)-c1ccc([N+](=O)[O-])c3cccc-2c13,1.0,,
CCN(CC(=O)O)N=O,0.0,,
CN1CCN(CC(=O)NN=Cc2ccc([N+](=O)[O-])o2)CC1,,,1.0
OCc1c2ccccc2c2ccc3cccc4ccc1c2c43,1.0,,
CCC(=O)CNCN=O,1.0,,
COc1cc(C(C)(C)C)c(O)cc1C(C)(C)C,0.0,,
CC(F)(Cl)Cl,,,1.0
O=C(O)c1cc(=O)c2cc(OCC(O)COc3cccc4oc(C(=O)O)cc(=O)c34)ccc2o1,,0.0,
CCC(=O)N(O)c1ccc(C=Cc2ccccc2)cc1,1.0,,
