stdsmiles_v2,smiles_tautomer,carcino,dili,genotox
C=CC=CC(C)C(OC(N)=O)C(C)C(O)C(C)CC(C)=CC(C)C(O)C(C)C=CC(O)CC1OC(=O)C(C)C(O)C1C,C=CC=CC(C)C(OC(N)=O)C(C)C(O)C(C)CC(C)=CC(C)C(O)C(C)C=CC(O)CC1OC(=O)C(C)C(O)C1C,,1.0,
C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,,1.0,0.0
CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,0.0,,1.0
CC[N+](C)(C)Cc1ccccc1Br,CC[N+](C)(C)Cc1ccccc1Br,,0.0,
CC12CCC(=O)C=C1CCC1C3CCC(O)(C(=O)CO)C3(C)CC(O)C12F,CC12CCC(=O)C=C1CCC1C3CCC(O)(C(=O)CO)C3(C)CC(O)C12F,,0.0,
CN(Cc1ccc(C(C)(C)C)cc1)Cc1cccc2ccccc12,CN(Cc1ccc(C(C)(C)C)cc1)Cc1cccc2ccccc12,,0.0,
N#CSCc1ccccc1,N#CSCc1ccccc1,0.0,,
O=NN1CC(O)CC1C(=O)O,O=NN1CC(O)CC1C(=O)O,0.0,,
NC(N)=NCCN1CCCCCCC1,N=C(N)NCCN1CCCCCCC1,,0.0,
Oc1c(Cl)cc(Cl)c(Cl)c1Cc1c(O)c(Cl)cc(Cl)c1Cl,Oc1c(Cl)cc(Cl)c(Cl)c1Cc1c(O)c(Cl)cc(Cl)c1Cl,0.0,,
O=C1c2ccccc2-c2n[nH]c3cccc1c23,Oc1c2ccccc2c2c3c(cccc13)N=N2,,1.0,
O=C(O)C(S)C(S)C(=O)O,O=C(O)C(S)C(S)C(=O)O,,1.0,
CCCCC(=O)N(Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1)C(C(=O)O)C(C)C,CCCCC(=O)N(Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1)C(C(=O)O)C(C)C,,1.0,
COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2,,,0.0
Cc1ccccc1N(C)C(=O)C1CCCC(C)N1C,Cc1ccccc1N(C)C(=O)C1CCCC(C)N1C,,0.0,
O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1O,O=C1N=C(c2ccccc2)c2cc(Cl)ccc2NC1O,0.0,,0.0
Cc1nc(C)c2c(n1)N(Cc1ccc(-c3ccccc3-c3nn[nH]n3)cc1)C(=O)CC2,Cc1nc(C)c2c(n1)N(Cc1ccc(-c3ccccc3-c3nn[nH]n3)cc1)C(=O)CC2,,1.0,
CC12CCC3C(CCC4=CC(=O)CCC43C)C1CCC2=O,CC12CCC3C(CC=C4CC(=O)CCC43C)C1CCC2=O,,,0.0
CCc1cc(C(N)=S)ccn1,CCc1cc(C(N)=S)ccn1,0.0,1.0,
CCC(CO)NCCNC(CC)CO,CCC(CO)NCCNC(CC)CO,,1.0,
N=C1C=CC(=C(c2ccc(N)cc2)c2ccc(N)cc2)C=C1,N=C1C=CC(=C(c2ccc(N)cc2)c2ccc(N)cc2)C=C1,1.0,,
CC(=O)NCCCS(=O)(=O)O,CC(=O)NCCCS(=O)(=O)O,,1.0,0.0
C[N+]([O-])(CCCl)CCCl,C[N+]([O-])(CCCl)CCCl,1.0,,
Clc1ccc(CSC(Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1,Clc1ccc(CSC(Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1,,0.0,
O=C(O)c1cccc([N+](=O)[O-])c1,O=C(O)c1cccc([N+](=O)[O-])c1,,,0.0
O=c1oc2c(O)c(O)cc3c(=O)oc4c(O)c(O)cc1c4c23,O=c1c(O)cc2c(O)oc3c(=O)c(O)cc4c(O)oc1c2c43,0.0,,
