smiles,carcino,dili,genotox
C[N+]([O-])(CCCl)CCCl,1.0,,
N#[N+]C=C([O-])OCC(N)C(=O)O,1.0,1.0,
CCN(CC)C(C)=O,1.0,,
CC(=O)CN(CC(C)=O)N=O,1.0,,
C=CCN(CCO)N=O,1.0,,
CC(C)CON=O,1.0,,1.0
O=P(OC(CCl)CCl)(OC(CCl)CCl)OC(CCl)CCl,1.0,,
S=C(S)NCCNC(=S)S,1.0,,
CC=CC=CC=O,1.0,,0.0
CC(=O)OCN=[N+](C)[O-],1.0,,
COC(C)(C)C,1.0,,
O=P(O)(OCC(Br)CBr)OCC(Br)CBr,1.0,,
CCCCCCCCCCCCCCN(C)N=O,1.0,,
ClCC(Cl)CCl,1.0,,
OCC(CO)(CBr)CBr,1.0,,
NC(=O)N(CCF)N=O,1.0,,
CC(=O)CN(C)N=O,1.0,,
CCOS(=O)(=O)OCC,1.0,,
CCCCN(CCCCO)N=O,1.0,,
CC(C)(C)O,1.0,,0.0
C=CCN(CC(O)CO)N=O,1.0,,
CN(CCCO)N=O,1.0,,
CCN(CC(F)(F)F)N=O,1.0,,
CC(O)CN(CC(O)CO)N=O,1.0,,
CCNC(=S)NCC,1.0,,
CCN(N=O)C(=O)NCC(C)=O,1.0,,
ClCC=CCCl,1.0,,
CCN(N=O)C(N)=O,1.0,,1.0
CCCCCCCCCCN(C)N=O,1.0,,
CN(CCO)N=O,1.0,,
CCSCCC(N)C(=O)O,1.0,1.0,1.0
O=CC=CO,1.0,,
CN(C)P(=O)(N(C)C)N(C)C,1.0,,1.0
C=CCN(CC=C)N=O,1.0,,
NCCCCCCCCCCC(=O)O,1.0,,0.0
CC(C)N=[N+]([O-])C(C)C,1.0,,
CN(CCCl)CCCl,1.0,0.0,1.0
NC(=O)N(CCCO)N=O,1.0,,
C=CCOC(=O)CC(C)C,1.0,,
CCC(Cl)CCC(Cl)C(Cl)CC(Cl)C(Cl)C(Cl)CCl,1.0,,
O=P(OCCCl)(OCCCl)OCCCl,1.0,,
C=CC(N)=O,1.0,,1.0
NC(=O)N(CCO)N=O,1.0,,
CNC(=S)N(C)C,1.0,,
C=CC(=O)OCC,1.0,,1.0
CCOC(N)=O,1.0,,1.0
CCN=[N+](C)[O-],1.0,,
CCCCCCN(N=O)C(N)=O,1.0,,
CCNC(=O)N(CCN(C)C)N=O,1.0,,
NC(=O)N(CC(=O)O)N=O,1.0,,
CC(C)=CCl,1.0,,1.0
CCC=C(CC)[N+](=O)[O-],1.0,,
CCN(C#N)N=O,1.0,,
CC(O)CN(N=O)C(=O)NCCCl,1.0,,
CCCCN(N=O)C(N)=O,1.0,,
CC(=O)CN(CC(O)CO)N=O,1.0,,
C=CCN(CC(C)=O)N=O,1.0,,
O=C(O)CN(CC(=O)O)CC(=O)O,1.0,,0.0
CC[N+]([O-])=NC,1.0,,
CC=CC=O,1.0,,0.0
CC(O)CN(CC(C)O)N=O,1.0,,
OCCOCCO,1.0,,
CCCC(CCC)C(=O)O,1.0,1.0,
C=CCN(CC(C)O)N=O,1.0,,
CCCN=[N+]([O-])CCC,1.0,,
CN(C)NC(=O)CCC(=O)O,1.0,,
COP(=O)(OC)OC=C(Cl)Cl,1.0,,0.0
CCCCCN(CCCCC)N=O,1.0,,
C=C(C)CCl,1.0,,0.0
CCCCNC(=O)N(CCCC)N=O,1.0,,
CCOS(C)(=O)=O,1.0,,1.0
O=P(OCC(Br)CBr)(OCC(Br)CBr)OCC(Br)CBr,1.0,,1.0
CC(=O)CN(CCO)N=O,1.0,,
CCCN(N=O)C(N)=N[N+](=O)[O-],1.0,,
CC(C)=NO,1.0,,
CN(N=O)C(=O)NCCCC(N)C(=O)O,1.0,,
CCCCCN(N=O)C(=O)OCC,1.0,,
CCCCCCCCCCCCN(C)N=O,1.0,,
OCC(Br)CBr,1.0,,0.0
CCOC(=O)N(CC)N=O,1.0,,
C=CC(=C)C,1.0,,1.0
CCN(C)N=O,1.0,,
ClC(Cl)=C(Cl)C(Cl)=C(Cl)Cl,1.0,,
CCC(CC)[N+](=O)[O-],1.0,,
CCN(N=O)C(=O)NCCO,1.0,,
CN(CCCC(=O)O)N=O,1.0,,
CC(O)CN(C)N=O,1.0,,
